Rate,Review,Summary
1,Useless product,Local quality
5,Excellent,Good product
5,Simply awesome,Good product
4,Very Good,Nice
1,Terrible product,Not bad product
5,Worth every penny,Best
4,Value-for-money,Good
5,Perfect product!,Good product
5,Excellent,Nice
5,Brilliant,Nice
5,Just wow!,Good
5,Terrific purchase,Nice product 👍
5,Brilliant,Good product
5,Perfect product!,Super
5,Awesome,Good
3,Fair,Good product
5,Mind-blowing purchase,Gud product
5,Perfect product!,Very good quality
5,Wonderful,Nice product. From the known brand Milton
5,Must buy!,Too good
4,Wonderful,Good
5,Mind-blowing purchase,Nice product
5,Brilliant,It's a good product thanks flip kart ........
5,Fabulous!,Good
4,Value-for-money,Good quality.thanks for milton
5,Worth every penny,Very good product quality
4,Worth the money,Product is very good
5,Classy product,Awesome
3,Just okay,Not bad
5,Best in the market!,Nice porduct
5,Perfect product!,Nyc
3,Nice,Super
5,Mind-blowing purchase,Superb product
5,Great product,Best product
4,Good choice,Super
5,Mind-blowing purchase,Good product
5,Terrific,Milton product always comes with brand value
5,Awesome,Supar 👌
5,Brilliant,Nice super
5,Classy product,Very nice 👍👍
5,Worth every penny,Good
5,Perfect product!,Good
5,Terrific purchase,Same as shown in the picture
5,Best in the market!,Nice quality and it's very useful
5,Excellent,Product is very good and I'm so happy
5,Classy product,Nice bottle
5,Highly recommended,Nice
1,Worst experience ever!,Waste of money
5,Terrific,Good prodact
5,Just wow!,Nice product
5,Highly recommended,Best
1,Did not meet expectations,Third class products
5,Mind-blowing purchase,"Super product, cover and cap is the best.. much better than expected"
4,Good choice,Good
5,Perfect product!,Nice product👍
5,Awesome,Gud products
5,Terrific purchase,Very nice product
1,Highly recommended,awesome
3,Nice,Better
5,Terrific,Excellent 👌👌
4,Pretty good,Vary nice good quality
5,Super!,"Very good product.. nice, Thanks Flipkart"
4,Value-for-money,Nice product
5,Highly recommended,Light waight nice bottle ....
5,Excellent,Value for money
4,Very Good,Wow
5,Mind-blowing purchase,Good product 👍
4,Value-for-money,Good
4,Nice product,Excellent
5,Mind-blowing purchase,Good
4,Delightful,Nice product
5,Excellent,Very good  genuine product from the seller.you can go for that without any doubt. Heat lasts for 24 hours same for cold as well
3,Fair,Not as expected
5,Highly recommended,Wow I have use 5 week super results
5,Simply awesome,It is very nice product
5,Fabulous!,Very nice product
4,Really Nice,Good
5,Excellent,Best product for winter
4,Good quality product,Good
5,Just wow!,Very good
4,Nice product,Good
5,Highly recommended,Good products
5,Super!,Good
5,Best in the market!,Super product...thnks u so much filpkart ❤️👌👌👌
5,Wonderful,Gud
5,Just wow!,Best
5,Must buy!,Superb
5,Awesome,good product
4,Pretty good,Good
5,Terrific,Best qwalty
5,Terrific purchase,"Today, I received this amazing product, it is easy to carry and it will keep the water warmer for more than 12 hours."
5,Excellent,Good
5,Excellent,Wonderful genuine product.
4,Very Good,Good
4,Good choice,Worth for money..
5,Fabulous!,Awesome quality and original product
5,Terrific purchase,This think is very nice
5,Worth every penny,Top best product
4,Wonderful,Good
1,Worst experience ever!,The water does not heat up for more than two or three hours.
5,Just wow!,Good
5,Classy product,Super
4,Really Nice,More affordable....
5,Awesome,Very good
5,Just wow!,Super quality
1,Hated it!,It's damaged in 2 weeks
5,Brilliant,Suprb product
5,Super!,Light weight..500ml is sufficient for single user.
4,Wonderful,Good product
5,Just wow!,Very good i like it 👍
4,Wonderful,very nice product
5,Worth every penny,Very nice prodact
5,Super!,Good product 👍😅👍😅👍
5,Classy product,Happy
5,Super!,Good
3,Decent product,Good
5,Excellent,"Excellent , I so Hot water 24 hours tested , ist,s very good"
5,Just wow!,Nice product
5,Highly recommended,Superb 👌
5,Great product,Best quality
3,Nice,Maximum stability of water is 3-4 hours
4,Pretty good,Good 👍
5,Perfect product!,Nice product
5,Wonderful,Nice
4,Worth the money,"Value for Money,Really Good product."
5,Terrific purchase,Ok
5,Simply awesome,Very nice product value for money
5,Fabulous!,Good product 👍
4,Good choice,Good product
3,Nice,Good
5,Worth every penny,Super
5,Terrific,Very nice
5,Awesome,The product is very nice 🙂🙂
5,Terrific purchase,I like this product
5,Must buy!,Nice
5,Just wow!,Nice product
5,Excellent,Very  nice  product
5,Mind-blowing purchase,Good
5,Must buy!,500ml size.Seller : MYTHANGLORYRetailI am satisfied with this product. I am giving feedback after using it for 1 month.
4,Good choice,Very nice
2,Expected a better product,Quality is poor ...
5,Excellent,The quality is superb and a paisa wasool product
5,Best in the market!,Best
5,Terrific,Good product
5,Terrific purchase,Good
5,Wonderful,Good product
3,Does the job,Good
5,Fabulous!,Just ok product
5,Best in the market!,Good 👍
5,Worth every penny,"Good one ,"
4,Worth the money,Nice product
5,Terrific purchase,Perfect
3,Does the job,Nice
5,Just wow!,Very nice👍
4,Delightful,I give four states because of size
5,Classy product,Very useful product storage so good temperature maintain more than 24 hours
5,Brilliant,Super super super
5,Super!,Product is very good
5,Highly recommended,Very useful 👍 good product
5,Highly recommended,Amezing 🥰
4,Delightful,Super 💖💖💖
4,Good quality product,Nice
4,Good choice,Best product
4,Good choice,Best bottle but price is very high 😕 but quality is super 👌👌
3,Fair,Good
5,Must buy!,Must buy product !Loved it
5,Great product,Product is very good. Quality is very good.
1,Horrible,"Waste of money, temperature doesn't remain for more than 1hr"
4,Wonderful,Good
5,Terrific,Good
4,Good choice,Best product
5,Perfect product!,Nice bottle
5,Super!,Very nice
5,Super!,Nice product ..Very godd
4,Value-for-money,Good quality
5,Must buy!,Just awesome
5,Best in the market!,Nice 👍👌 👌👌
4,Delightful,Good as expected
5,Brilliant,Awesome
5,Worth every penny,Good
1,Worst experience ever!,Water not hot
5,Just wow!,Nice
5,Simply awesome,Just Good
1,Absolute rubbish!,Not properly working
5,Wonderful,Best in class 👍👍
5,Highly recommended,Superb product
5,Worth every penny,Very nice product....
5,Brilliant,"Product is super, value for money."
4,Really Nice,Super
3,Just okay,"Outside material is not much batter 🙂, not satisfying"
5,Must buy!,Very good for water resistant
5,Brilliant,Super product
5,Fabulous!,Awesome
5,Excellent,Everything is nearby perfect
4,Really Nice,Good 😊
4,Delightful,Good
5,Terrific,Wow
5,Wonderful,Loved the product.. Awesome quality.. Same features as mentioned.... Thank you flipkart!!!
5,Terrific purchase,It's truly a reliable product.
5,Simply awesome,"Good quality, worth for money"
5,Mind-blowing purchase,It's a good product.and packing I osmmm.
1,Utterly Disappointed,Very bad
5,Awesome,Very best product pesa vasul
5,Classy product,Met the expectations. Very good
4,Nice product,Good
5,Must buy!,Very nice 👍
5,Great product,Quality wise great.performance wise awesome.
5,Fabulous!,Very nice and useful
5,Great product,Nice product
1,Waste of money!,Not good
5,Great product,Good product thanks Flipkart
5,Just wow!,Nice
4,Good choice,Nice
5,Classy product,It's a good product
3,Just okay,Really a Good product
5,Worth every penny,Awesome product..go for it 👍
5,Classy product,Nice product
5,Terrific,Good
4,Good quality product,Good 👍
5,Awesome,Good
4,Pretty good,"Using since from 2weeks , very much satisfied and worthy"
5,Brilliant,Very good product love this flask
5,Simply awesome,WELL!! I AM PRETTY MUCH HAPPY WITH THE PACKAGING OF THE PRODUCT.MY FIRST EVER BEST UNBOXING EXPERIENCE 🤠
5,Fabulous!,Perfect product nd with cover and good original Milton water thanks
5,Highly recommended,Good
5,Best in the market!,Best
5,Awesome,Very good
5,Perfect product!,Good hai
5,Best in the market!,Finest
5,Excellent,It's awesome great product..and in will be kept 24 hrs which temperature will be put in this flask it's keep the same
5,Highly recommended,Vary nice
5,Must buy!,Thank you Flipkart
5,Excellent,All is well
5,Excellent,Very Very good product
5,Best in the market!,Nice 👍👍
5,Excellent,Very nice
4,Value-for-money,It's good product to use .. and quality amazing
5,Mind-blowing purchase,Over all good
5,Wonderful,All good
4,Good choice,Nice
4,Good choice,Good
4,Good choice,Very nice and dependable  product
3,Good,Not so good
5,Fabulous!,Good
5,Perfect product!,Good quality
5,Terrific purchase,Quality product and timely delivery by flipkart
4,Really Nice,Good product
5,Awesome,Very nice product
5,Mind-blowing purchase,Awesome product
5,Terrific purchase,Very good product
4,Pretty good,Good product
5,Must buy!,Awesome product
5,Awesome,Very very good product guys just go for it. Company says that 24hr hot or cold but it stay more than 24 hrs hot/cold water. Thank you flipcart and milton company. I am totally satisfied with it.
1,Worthless,The Product doesn't fulfill the promise of 24hrs hot and cold hot alao the taste of the tea or hot water changes to very bad smell within 6 hours.. Total waste of money
2,Bad quality,Not worth for money
5,Best in the market!,Superb bottle quality
1,Hated it!,Bed  itam
4,Really Nice,Good.... But properly works only for 12 hrs.... Not about 24 hrs
5,Awesome,Awesome material
5,Worth every penny,"Good one , worth for money , keeps hot water 12 hours"
5,Best in the market!,Value for money
5,Perfect product!,The Best Quality
5,Fabulous!,Very good product
5,Classy product,"Best in the market, Don't think before buy. No other brands can beat this."
5,Super!,Super quality
5,Wonderful,Nice
5,Fabulous!,"Excellent product, quality also.."
5,Simply awesome,As usually very good product from Milton.Thanks to Flipkart also.
1,Terrific purchase,Good
5,Just wow!,Shown as image.Great product 👍
5,Best in the market!,Nice product
4,Good quality product,"Good one,I liked it"
4,Worth the money,Good quality
5,Mind-blowing purchase,I am really happy to this product and thanks to flipkart. It is really good and hot water is hot in 15 to 20 hours continuously.
5,Classy product,Superb Products
5,Perfect product!,Nice
5,Classy product,It's very well
5,Worth every penny,Best quality products ....
5,Excellent,Very nice 👍👍👍👍👍
5,Awesome,Good product.
4,Pretty good,Osm hott nd cold bottle
5,Classy product,Good product very use full
5,Simply awesome,Thanks filpkart
4,Delightful,Good product but ?
5,Great product,Very good products iam happy😊😊👌👍
5,Terrific purchase,Always good
5,Just wow!,Good product
5,Simply awesome,Super
5,Fabulous!,Nice 👌
5,Must buy!,Very nice product 👍☺️
3,Nice,Nice product 👍👍👍👍
5,Worth every penny,Nice quality..go for it
5,Highly recommended,Good 👍👍👍😊😊
5,Fabulous!,Best quality
5,Highly recommended,Nice
5,Great product,Nyc one
3,Good,Thank you 💞 Flipkart
5,Classy product,"Milton Thermo is Best forever, but price is little high"
5,Mind-blowing purchase,Price is little high but Milton is Best thermo
3,Fair,Nise
2,Not good,Not satisfied
4,Good choice,Nyc product
5,Must buy!,Best product
5,Perfect product!,Best packaging by Flipkart. Product quality is best as mentioned. Go for it. Flipkart doing a great job.
5,Awesome,Value for money...
5,Great product,Very good
5,Great product,Price large but quality very good
1,Worthless,Worst product ever
3,Decent product,Good
3,Just okay,Good product. I bought it to use it for tea. But the tea gets cool within 5 hrs
5,Best in the market!,Nice product
4,Wonderful,Product is very looking nice and It is durable.
5,Super!,Good quality
5,Terrific purchase,Super
4,Value-for-money,super
5,Super!,Excellent
4,Value-for-money,Good But Costely On other Brands
1,Absolute rubbish!,Not at all good. Within no time the water/tea poured in is becoming cool. Not satisfied with the product
5,Worth every penny,Nice product
5,Excellent,Good
4,Good choice,Very good product .
4,Worth the money,Good product.
4,Nice product,Product is Good. Hot water for 12 hours in actual.
5,Simply awesome,Good
5,Highly recommended,I love it
5,Terrific,Good Quality
5,Brilliant,Good quality
5,Just wow!,Wow very good 😊👍 product
4,Pretty good,Its very good
5,Highly recommended,Nice product
1,Terrible product,Useless
5,Must buy!,Very satisfied nice product.
3,Does the job,Very high rate
5,Super!,Super it keeps hot water 24 house
5,Must buy!,Good quality
5,Terrific purchase,Good product Milton 👍👍👍👍
5,Worth every penny,Nice
5,Best in the market!,Milton flask is good quality
5,Terrific purchase,Nice
5,Perfect product!,Good 👍
4,Value-for-money,thanks Milton and Flipkart
5,Terrific,Very nice
4,Wonderful,It can keep hot or cold for only 12 hours product is good
5,Simply awesome,Ncy
4,Worth the money,Good 👍
1,Utterly Disappointed,It doesn't keep warm for even 12 hours.
5,Brilliant,Best product
1,Did not meet expectations,Totally waist the money
5,Simply awesome,Best 👍👍👍
5,Super!,Best product
5,Wonderful,"Superb quality ,milton 👌👍💕"
5,Brilliant,Good 👍👍
5,Super!,"Good product, like it . Thanks flipkart"
5,Must buy!,Good
4,Worth the money,Thank goodness
5,Just wow!,I like this product soooo..... Much  I loving it worth of money 🤑💰👌🤩
5,Mind-blowing purchase,Nice one
5,Simply awesome,Very good
5,Just wow!,Good product
5,Brilliant,Good
4,Pretty good,Best product.keep long worm upto 24 hours
5,Wonderful,"Its really super,more than 2hr of water in heat capacity"
5,Fabulous!,"Perfect,must buy👍😊"
5,Must buy!,Good quality
3,Good,I was bought it for milk purpose but it was a tea or something else purpose product so for me it's a loss and nothing else
4,Really Nice,Amazing. You can with it without any if or but. I'm using since last 2 years.
5,Perfect product!,Good Quality and delivery person is also good 😊😊
4,Delightful,Nice
5,Terrific purchase,Good product thank you flipkart
4,Good quality product,good
5,Just wow!,"Good, value for money"
3,Just okay,Nice but late delivery
5,Classy product,Thanks for Flipkart good product but delivery boy night delivery
5,Classy product,Super
5,Must buy!,Mony save Good product
4,Delightful,Best quality on product yeah reach Neevalle mrp
4,Good choice,GOOD QUALITY
5,Perfect product!,Very nice
3,Fair,This product is super and nice to use this product. I am very happy with this product.
4,Delightful,It is good
5,Must buy!,Nice
1,Worthless,Waste of money
4,Good choice,Good
5,Highly recommended,Very Good Product Love It 🔥
5,Worth every penny,Good prodect
5,Perfect product!,Perfect
5,Super!,Very usefull product. Specially in winter now I take tea with this to my duty. I gave 5*👌👌👌
5,Terrific purchase,Best Quality.
5,Terrific purchase,Awesome product....👍👍
5,Excellent,It is a good product
5,Perfect product!,Great
4,Nice product,Good product
1,Worthless,Very very bad product.
5,Simply awesome,Osm
5,Brilliant,Worth the price
5,Highly recommended,"Perfect, must buying product"
1,Useless product,Closing cap not sitting properly its falls down inside the Flosk..its happening in 5th day from the day of delivery... worst experience from Flipkart not value for money
4,Really Nice,Nc
5,Perfect product!,Ok
4,Good quality product,❤️nice product 👍☺️
5,Classy product,Good for my mother
4,Worth the money,Good product
2,Could be way better,Low quality cheap product waste of money
2,Expected a better product,Not well
5,Must buy!,Super Qaolety
5,Excellent,Good
4,Good quality product,Very good 🌹
5,Best in the market!,excellent product
5,Super!,It's really useful as u can see the size it's really easy to carry
3,Good,Very useful product
5,Terrific purchase,Very nice product
5,Terrific,Good
2,Not good,Water leakage and very bad hot water is hot in 8 hrs
4,Very Good,Very good
3,Nice,Good
2,Not good,Not good quality
5,Excellent,Best product 👍
1,Worthless,Leakage problem. It only hold 4 hour hot water after that it become. MYTHANGLORYRetail they doesn't provide return policy and also good packaging.
5,Excellent,Good  nice product
5,Awesome,It's a good quality products
5,Highly recommended,Very nice it's good company thank u flipkart
4,Worth the money,This is a very good product. Water remains hot for allmost 24 hours in the beginning. (As I am using it in  initial period). Is worth of money for buying it.
5,Perfect product!,Amazing Product
5,Brilliant,Nice.....very much handy and well designed
5,Must buy!,Very Good
5,Must buy!,Original product com so happy
5,Must buy!,Useful and value for money🔥🔥🔥
5,Fabulous!,Nice product 👍
4,Very Good,Useful gadget.
4,Worth the money,Nice
5,Excellent,Good quality and good service.
3,Does the job,Good
4,Nice product,Good
1,Utterly Disappointed,Bad product
3,Just okay,Not bad......
3,Fair,Price is too high
5,Great product,"Very nice product,go gor it🥰"
5,Classy product,Wow Really work 24 hours
5,Wonderful,Very good
5,Super!,Nice
5,Simply awesome,Best product.. to buy
3,Good,Good 👍👍
5,Just wow!,Very niceLet's see after use
5,Terrific,Good and genuine product. The packaging from Flipkart was not good. No external packaging was provided. Flask is pretty awesome.
2,Bad quality,Temperature  doesn't  stay  long
5,Just wow!,Good
5,Mind-blowing purchase,Nuce
5,Wonderful,Good product 👍👍
5,Brilliant,Super..
5,Great product,Nice products
5,Terrific,All gd
3,Just okay,Good product
5,Classy product,Nice product
5,Mind-blowing purchase,Best flux of Milton
5,Just wow!,Very nice
3,Nice,Good
5,Terrific,nice
5,Worth every penny,Nice
4,Good quality product,Good
5,Super!,Nice
5,Brilliant,Good
5,Terrific,Good product.. I'm satisfied
3,Does the job,Good
5,Terrific,Good product
5,Highly recommended,Very nice product
5,Highly recommended,Superb product and offer
5,Terrific purchase,Superb Product 👍I like it...💕
5,Must buy!,Nice product flipkart ❤️❤️❤️❤️❤️
5,Must buy!,Nice
5,Brilliant,I like it
5,Awesome,Good product
5,Great product,Good quality product
4,Nice product,Worth product
5,Fabulous!,Nice
5,Mind-blowing purchase,Awesome 👍👍
5,Wonderful,Nice..go for it
5,Wonderful,Excellent Product thanks Flipkart
1,Did not meet expectations,Hit only 3 hours money lass..😭😭😭😭
1,Waste of money!,No good
5,Fabulous!,Thanks you 🙏
5,Terrific,best product
4,Nice product,Nice product..
5,Awesome,Excellent Product delivery on time thanks ji
5,Brilliant,Good
5,Terrific,Very nice product 👍
5,Great product,Very good product
1,Worthless,Worst of money don't purchase this bottle.water not hot for lim
4,Value-for-money,"I like the product, one can go for it."
4,Terrific,It's ok for money and super quality you can good product to buy
5,Terrific,Nice product
5,Excellent,As you would expect from milton worth itReally good quality
5,Great product,Very nice go for it
5,Great product,Very good product
5,Terrific,Superb go for it.
1,Hated it!,Not good
3,Good,"The product is good in condition, packing was impressive. But the bottle size is a little short. It wasn't as big as i thought. Over all the product is good."
5,Best in the market!,Good
5,Classy product,Very good
3,Decent product,Overall Good
4,Delightful,Good product and good insulated
5,Simply awesome,Super
5,Brilliant,It's awesome ☺️☺️☺️☺️☺️
5,Terrific,Simply superb I love it
4,Nice product,Good product Nice work
5,Simply awesome,Happy for this product
4,Nice product,Ok
4,Good quality product,Good
4,Wonderful,Super quality
5,Fabulous!,Alaways milton thermosteel was best...6 hours minimum hot or cold backup
5,Terrific,Excellent
5,Just wow!,Awesome
5,Brilliant,Nice product
5,Super!,Nice product
5,Wonderful,Just awesome 👍
4,Value-for-money,Good product
5,Must buy!,Nice
5,Wonderful,Very good 👍
5,Great product,Very nice
5,Classy product,Asm
5,Mind-blowing purchase,Good product. Thanks to flip kart
5,Just wow!,Good product 👍
5,Awesome,Super quality
5,Super!,Best
5,Terrific,As expected. And great durability
4,Worth the money,Good
5,Must buy!,Nice
5,Wonderful,Water is hot for more than 24 hours
5,Brilliant,Nice
5,Great product,Nice
5,Terrific,Good
4,Value-for-money,Good
4,Nice product,quality product..go for it..
5,Excellent,Good products
5,Awesome,Super Milton
4,Worth the money,Good product
5,Highly recommended,Nice picture you
5,Perfect product!,Good
5,Best in the market!,Nice product thanks Flipkart
4,Nice product,Good
4,Delightful,Good
5,Best in the market!,Nice
5,Wonderful,Good porduct
5,Worth every penny,Super
1,Not recommended at all,"A year ago, the ability to hold the heat stopped the last customers with useless products and cheated in the name of the band."
4,Nice product,Good
4,Really Nice,Nice  Product
5,Wonderful,Nice
4,Good choice,Good product and usefull for anything
5,Super!,It good
5,Terrific purchase,Awesome this product and Flipkart thank you Flipkart
5,Terrific,Very good👍
5,Worth every penny,Very fast delivery 😊nice product 😀
4,Good quality product,Nice 👌product 👌👍
4,Good choice,The built quality and design are very good. Although I haven't checked it's insulation and leakage. But I must say that its value for money
5,Super!,Good but water 9 hour hot
4,Delightful,Good
5,Just wow!,Good product thanks Flipkart 💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯 so fabulous product thanks Flipkart 💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯
5,Terrific,Very good
5,Perfect product!,Very good and value for money
5,Best in the market!,Good products by flipkart
1,Worthless,Bad
5,Super!,It is really good and perfectly packed and delivered.
4,Very Good,Awesome product
5,Great product,Good
5,Excellent,Ok
5,Simply awesome,Very nice
5,Mind-blowing purchase,Nice product
5,Perfect product!,To good
1,Very poor,"Not work long time, after two month it was failed thermal work and in a small time interval hot water quickly cold."
4,Nice product,Super
5,Brilliant,Very good for me
5,Terrific,This product is best quality
4,Pretty good,Amazing Product...
3,Good,Great product with no fuss
5,Simply awesome,"Excellent product um very happy size , quality everything is just outstanding"
5,Terrific purchase,very good product
4,Value-for-money,Good product at this price
5,Highly recommended,Best products supar
5,Simply awesome,Excellent
5,Awesome,Like
5,Great product,Nice
4,Wonderful,Good product
5,Terrific purchase,Good
5,Must buy!,Everything good but delivery executive not to ebeGood
5,Must buy!,Osam
5,Highly recommended,Good
5,Perfect product!,Very good
4,Wonderful,Good
5,Great product,"Awesome Product in this Range, only Milton is supplying good Quality."
5,Wonderful,Good product thanks Flipkart
5,Terrific,Nice
5,Worth every penny,Nice product.... it's a real Milton product guys...i love it...I am so happy....thank you filpkart
3,Just okay,Very good
5,Just wow!,Good
3,Nice,"Box pkd on: 12/2021 and product pkd 03/2021, but product best quality or warranty problem"
5,Wonderful,Excellent
5,Wonderful,Very good 😊
5,Fabulous!,Nice for its price
5,Terrific purchase,Good
5,Mind-blowing purchase,Good bottle
4,Nice product,It's good and very useful
4,Good quality product,Good
5,Simply awesome,Super in this product
4,Good choice,Good very nice
4,Worth the money,Good product
5,Super!,Nice
4,Delightful,Good
4,Delightful,Five-star can be given to this product...
5,Highly recommended,Awesome
4,Good choice,Good
5,Highly recommended,Good
5,Fabulous!,Very good quality products in the low price.Thank you Flipkart.
1,Waste of money!,damege product
5,Wonderful,Supar
5,Terrific,Nice product 👍
3,Good,Okkk
4,Worth the money,Excellent product. I am totally satisfied by this product .
5,Must buy!,Rally nice 🙈🙈
2,Bad quality,It's very bad
4,Delightful,Very nice flask Quality super
5,Awesome,Good
5,Awesome,Best product
5,Simply awesome,Just wow
1,Terrible product,Defected Product
5,Great product,Very good 👍
5,Best in the market!,Good
4,Delightful,Good Bottle
5,Worth every penny,Worth for the price.  Just go for it..
1,Useless product,not brand product
3,Fair,Hot and cold are 12 hours good quality nice product
4,Good quality product,Fantastic
5,Perfect product!,Good
5,Awesome,"Nice product, value for money"
5,Must buy!,Very Good
5,Best in the market!,Good
5,Just wow!,Osm product
4,Very Good,Worth the money awesome quality.
5,Great product,Good
5,Highly recommended,Good
5,Classy product,Very usefull
5,Terrific purchase,Best hai I'm happy
5,Super!,Product nice
5,Brilliant,Awesome product I love it's 🤞
5,Wonderful,Really all good very nice products tq
5,Brilliant,Nice
5,Excellent,Excellent product. Go for it.
5,Must buy!,It's more than my expectations...
5,Just wow!,Very nice
5,Perfect product!,Nice product
5,Simply awesome,Nice
5,Classy product,Nice
4,Value-for-money,super product
5,Wonderful,Very good
3,Just okay,Good product
3,Just okay,Good
3,Decent product,Very nice
3,Fair,"Its good, not very good"
4,Pretty good,Super
5,Highly recommended,Excellent product..
5,Terrific,Good Product
4,Delightful,It's nice
5,Brilliant,Nice
4,Pretty good,Nice
4,Really Nice,Good
2,Could be way better,Very good
5,Just wow!,Super
5,Must buy!,Excellent
5,Fabulous!,Excellent
5,Worth every penny,Always love this product.
4,Good quality product,Good quality of products
5,Great product,Value money
5,Highly recommended,Very nice
5,Terrific purchase,Very very nice
5,Terrific purchase,Value for money 💰
5,Highly recommended,Good 👍
5,Terrific purchase,Good quality product. Highly recommended.
5,Must buy!,Good
4,Very Good,Thank You Flipkart
4,Worth the money,Good product
5,Wonderful,It is really useful to me. It is a very good product.
4,Worth the money,Very Good quakiry
4,Wonderful,Super
5,Terrific,Superb Product Worth for Money
5,Terrific purchase,Nice productLoved it
5,Best in the market!,Product is excellent. Model no and minimum data printed on the bottle would have enhanced its value.
5,Just wow!,Super quality
5,Just wow!,It is a good product. Value for money.
5,Brilliant,Good
5,Fabulous!,Nice
5,Excellent,Very good
5,Excellent,Good product
5,Classy product,Ok
5,Super!,Excellent
1,Terrible product,Not good
4,Good choice,Value for money
5,Super!,Nice pics 😍
5,Classy product,Moneysafe product
4,Wonderful,Nice
5,Brilliant,Excellent product..
5,Worth every penny,Super
4,Good quality product,Nice product
5,Classy product,Nice 👍
5,Great product,Very good product as expected
4,Nice product,Good
5,Must buy!,Super
4,Pretty good,Good
1,Very poor,Wast it's not buy this product
5,Worth every penny,Good iteam
3,Good,Its good but when about 4 to 5 hours tea is proximity cold
5,Perfect product!,Thanks flipkart...
4,Delightful,Good product
5,Awesome,Good products 👍
5,Perfect product!,Good product
1,Don't waste your money,Bad 😞
5,Highly recommended,Good
5,Mind-blowing purchase,Timely delivery very good
4,Delightful,Good product
4,Delightful,This is a good produced
5,Wonderful,Good
3,Just okay,Good
5,Super!,Tq
5,Excellent,Good
5,Terrific purchase,Good
3,Good,Good
5,Just wow!,Name itself enough
5,Awesome,Good Product 👍
5,Terrific purchase,Nice
2,Bad quality,2nd product
5,Worth every penny,Good
5,Fabulous!,"Fantastic Flask. As using this Flask for the past one Month, and Noticed that the hotness is persisting up to 12+ hours."
5,Just wow!,Original
4,Value-for-money,During postpartum I hv to drink hot water every time so I ordered this for myself. Value for money but leakage problem is there please work on it Milton.
5,Perfect product!,Best wishes
5,Awesome,Good
5,Best in the market!,Nice
5,Simply awesome,Good product with nice quality
5,Brilliant,Very good product
5,Best in the market!,Super product I am used mora than 15 days ago 24 hour hot 🔥 nad 24 hour cool 🆒 water this flash
1,Don't waste your money,It is very bad products 😡😡😡😡😡😡😡......Don't like this product.
5,Terrific purchase,The best
5,Must buy!,Amazing quality
5,Just wow!,Nice product
5,Worth every penny,I review the product after using 7 days nice product I have ever seen from Flipkart thanks to Milton currently I am preparing for my medical entrance UG and for late night studies it is very useful and effective for me to take some coffee and an instant  chilling vibes feel...❤️❤️❤️❤️
4,Worth the money,Very nice product...go for it
5,Terrific,Best product.
5,Awesome,Nice prodact
5,Worth every penny,Good product
5,Must buy!,Very good
5,Fabulous!,Best quality
5,Super!,Love it
4,Good quality product,Good a
5,Highly recommended,Satisfaction
5,Worth every penny,Nice products
5,Excellent,Very good qlt.
5,Wonderful,Good item
5,Terrific,Nice good
5,Awesome,Nice product
5,Wonderful,This bottle is very worth to money and awesome
3,Just okay,Too good👍👍👍
4,Really Nice,Good
4,Really Nice,Good
4,Pretty good,Good good
5,Great product,Best items
5,Terrific purchase,Trusted brand
5,Classy product,Super
4,Very Good,Good
5,Worth every penny,Good product 👍
5,Terrific purchase,Nice
5,Mind-blowing purchase,Awesome and hot reamins for next day also
5,Terrific,Good Product
5,Perfect product!,Nice 👍
5,Classy product,Ya it's very useful . And easy to carry tea and hot water too
1,Absolute rubbish!,Very bad
4,Very Good,Good
5,Simply awesome,Nice bottle
5,Brilliant,Excellent
5,Excellent,Very very very nice🤗🤗🤗🤗🖒🖒🖒🖒🖒🖒
4,Really Nice,Perfect
5,Must buy!,Good products
5,Super!,Nice
5,Terrific,Nice bottle ☺️
4,Really Nice,Good
5,Wonderful,Worth of money
5,Fabulous!,Beautiful ❤️❤️❤️❤️💕💕💕
4,Delightful,Nice products
5,Terrific purchase,Good quality and nice product
4,Worth the money,Good 👍
3,Just okay,Nice 🙂
4,Pretty good,Chief and best good quality
5,Terrific,Worth full
5,Brilliant,It is a good quality thermosteel flask. Go for it 👍
5,Highly recommended,"Very nice, super"
5,Must buy!,Product Quality is very good.......🧡
5,Mind-blowing purchase,Thank you Flipkart
5,Just wow!,awesome.....
4,Really Nice,Nice product 👍
5,Fabulous!,Nice 🥰
5,Simply awesome,Very nice product.
5,Great product,Very good
5,Awesome,Nice
5,Mind-blowing purchase,Best quality Milton.... Thank you Flipkart
5,Classy product,Good
5,Wonderful,Awesome product. I just loved it. Value of money
5,Classy product,Best product
5,Simply awesome,Cool and hot 24 hours
3,Does the job,Plastic Cap is brokr within month.
4,Nice product,Good
5,Awesome,Good
5,Great product,Best product
5,Terrific,Nice 👍
4,Pretty good,product is good
5,Brilliant,Gorgeous product 😍😍
5,Brilliant,My son is happy
5,Must buy!,Very good
5,Perfect product!,Very nice flask..
5,Best in the market!,Very good👍
5,Super!,Good product🤍 and light weight🥰
5,Excellent,Very nice
5,Wonderful,Awesome product
3,Fair,Very bad Quality product not hot after one hours
4,Very Good,Nice 👍
5,Brilliant,Very good
